GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assure,com.assure.dto,OrderDto,1327,7,90,0,286,2,75,2,30,2
assure,com.assure.dto,BinInventoryDto,628,7,40,0,128,2,40,2,20,2
assure,com.assure.dto,ProductDto,165,3,20,0,39,1,18,1,8,1
assure,com.assure.dto,ClientDto,153,7,14,0,38,2,15,2,8,2
assure,com.assure.spring,ControllerConfig,4,129,0,0,2,29,1,10,1,10
assure,com.assure.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
assure,com.assure.spring,PhysicalNamingStrategyImpl,0,86,1,7,0,13,1,8,0,5
assure,com.assure.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
assure,com.assure.spring,DbConfig,0,108,0,0,0,28,0,4,0,4
assure,com.assure.api,ClientApi,4,56,0,0,1,14,1,8,1,8
assure,com.assure.api,OrderItemApi,0,43,0,0,0,10,0,4,0,4
assure,com.assure.api,OrderApi,16,56,0,0,3,13,3,7,3,7
assure,com.assure.api,BinApi,0,20,0,0,0,4,0,4,0,4
assure,com.assure.api,BinSkuApi,0,43,0,0,0,9,0,7,0,7
assure,com.assure.api,InventoryApi,0,38,0,0,0,9,0,5,0,5
assure,com.assure.api,ProductApi,0,58,0,0,0,13,0,8,0,8
assure,com.assure.controller,AppRestControllerAdvice,294,3,4,0,48,1,17,1,15,1
assure,com.assure.controller,HomeAppUiController,30,3,0,0,8,1,8,1,8,1
assure,com.assure.controller,ProductApiController,151,7,10,0,33,2,10,2,5,2
assure,com.assure.controller,ClientApiController,150,7,8,0,33,2,10,2,6,2
assure,com.assure.controller,AbstractUiController,13,3,0,0,3,1,1,1,1,1
assure,com.assure.controller,BinApiController,31,7,2,0,8,2,3,2,2,2
assure,com.assure.controller,GetServerFileRestController,130,7,4,0,22,2,3,2,1,2
assure,com.assure.controller,OrderApiController,274,7,8,0,57,2,16,2,12,2
assure,com.assure.controller,InventoryApiController,199,7,14,0,41,2,14,2,7,2
assure,com.assure.model.form,OrderItemForm,24,0,0,0,5,0,7,0,7,0
assure,com.assure.model.form,OrderForm,38,0,0,0,7,0,11,0,11,0
assure,com.assure.model.form,BinForm,10,0,0,0,3,0,3,0,3,0
assure,com.assure.model.form,BinInventoryUpdateForm,31,0,0,0,6,0,9,0,9,0
assure,com.assure.model.form,InventoryForm,24,0,0,0,5,0,7,0,7,0
assure,com.assure.model.form,BinInventoryCsvInputForm,17,0,0,0,4,0,5,0,5,0
assure,com.assure.validators,OrderFormValidator,123,7,8,0,27,2,6,2,2,2
assure,com.assure.validators,BinInventoryCsvInputFormValidator,121,3,8,0,24,1,6,1,2,1
assure,com.assure.validators,ProductCsvInputFormValidator,150,3,10,0,30,1,7,1,2,1
assure,com.assure.validators,BinInventoryUpdateFormValidator,52,3,4,0,11,1,4,1,2,1
assure,com.assure.validators,UpdateClientFormValidator,70,7,10,0,16,2,7,2,2,2
assure,com.assure.validators,ProductFormValidator,109,7,4,0,19,2,4,2,2,2
assure,com.assure.validators,ChannelOrderFormValidator,111,7,8,0,25,2,6,2,2,2
assure,com.assure.validators,CreateClientFormValidator,102,7,6,0,24,2,5,2,2,2
assure,com.assure.client,ChannelClient,65,33,0,0,16,5,2,2,2,2
assure,com.assure.client,ChannelInvoicePdfClient,58,7,0,0,8,2,1,2,1,2
assure,com.assure.client,ChannelOrderClient,30,3,0,0,4,1,1,1,1,1
assure,com.assure.pojo,AbstractPojo,0,13,0,0,0,5,0,2,0,2
assure,com.assure.pojo,Product,4,52,0,0,0,10,1,14,1,14
assure,com.assure.pojo,Client,4,20,0,0,0,5,1,6,1,6
assure,com.assure.pojo,Order,4,41,0,0,0,8,1,12,1,12
assure,com.assure.pojo,Inventory,4,46,0,0,0,10,1,10,1,10
assure,com.assure.pojo,Bin,4,6,0,0,1,2,1,2,1,2
assure,com.assure.pojo,BinSku,4,31,0,0,0,7,1,8,1,8
assure,com.assure.pojo,OrderItem,4,64,0,0,0,13,1,14,1,14
assure,com.assure.dao,ClientDao,0,42,0,0,0,11,0,4,0,4
assure,com.assure.dao,BinsDao,0,7,0,0,0,3,0,2,0,2
assure,com.assure.dao,OrderDao,26,42,0,0,6,11,2,4,2,4
assure,com.assure.dao,AbstractDao,15,61,2,0,2,13,2,7,1,7
assure,com.assure.dao,OrderItemDao,0,16,0,0,0,5,0,2,0,2
assure,com.assure.dao,ProductDao,12,35,0,0,3,9,1,3,1,3
assure,com.assure.dao,BinSkuDao,0,47,0,0,0,12,0,4,0,4
assure,com.assure.dao,InventoryDao,0,18,0,0,0,5,0,2,0,2
assure,com.assure.model.response,MessageData,17,0,0,0,4,0,5,0,5,0
assure,com.assure.model.response,BinSkuDataResponse,45,0,0,0,8,0,13,0,13,0
assure,com.assure.model.response,BinDataResponse,10,0,0,0,3,0,3,0,3,0
assure,com.assure.model.response,OrderItemListingDataResponse,45,0,0,0,8,0,13,0,13,0
assure,com.assure.model.response,InventoryDataResponse,45,0,0,0,8,0,13,0,13,0
